policy,win_rate,draw_rate,sap_mean,sap_std,sbf_mean,mecha_mean,cv_mean,n_episodes
GKBug_v3,0.71,0.238,53.70583333333334,18.347226013132776,28.16,0.06841130975634914,0.009891815270926647,500
GKBug_v0,0.638,0.336,63.6594,14.387810024273636,32.599,0.061425353219160005,0.010483374422645719,500
PassingMain_v2,0.624,0.292,93.51316666666668,1.8414456533355499,18.289,0.12317215542235152,0.0769469790413069,500
GKBug_v2,0.622,0.31,55.36813333333333,19.132278408862557,28.2385,0.0671017999317636,0.009936385128573881,500
