policy,win_rate,draw_rate,sap_mean,sap_std,sbf_mean,mecha_mean,cv_mean,n_episodes,elapsed_sec
GKBug_v0,1.0,0.0,60.28916666666667,16.545905115171156,35.225,0.06984885620485512,0.008027320240776417,10,646.7815046310425
GKBug_v2,0.9,0.1,47.05083333333333,21.722302660408044,27.55,0.06823126877270755,0.007771083792738312,10,635.2131249904633
GKBug_v3,0.9,0.1,46.9075,13.633075503538635,29.425,0.07061907534306294,0.011119000889784608,10,607.4948055744171
PassingMain_v2,0.9,0.0,93.585,2.6232248553975137,18.7,0.11182819010611325,0.08176204374985444,10,705.2480409145355
GKBug_v1,0.6,0.4,64.20416666666668,13.420591357184792,22.175,0.061373142930449674,0.008475377004123989,10,665.7608456611633
PassingMain_v1,0.1,0.3,93.58916666666667,2.1988670272901225,10.0,0.1931479257487195,0.09136150513382857,10,672.1905238628387
