policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v3,9,0,1,0,0,63.175000000000004,48.5,0.07036008744782594,0.02462799181927199
GKBug_v3,9,1,0,1,0,33.00833333333333,7.25,0.06933335612717992,0.007780465624925256
GKBug_v3,9,2,1,0,0,50.3,19.75,0.06864669771229498,0.008631135889906731
GKBug_v3,9,3,1,0,0,67.625,43.75,0.07997994265468973,0.02608163711985366
GKBug_v3,9,4,0,1,0,62.775000000000006,29.25,0.06892522048390634,0.01619998014543656
GKBug_v3,9,5,1,0,0,67.06666666666666,48.25,0.07633823226396992,0.013411211632572799
GKBug_v3,9,6,0,0,1,61.391666666666666,23.25,0.040854848162141744,0.008774668737053916
GKBug_v3,9,7,1,0,0,58.15833333333333,46.75,0.0955259443505466,0.023171224963772455
GKBug_v3,9,8,0,1,0,29.625,5.25,0.08434471627495035,0.0019189289661865148
GKBug_v3,9,9,0,0,1,55.666666666666664,36.0,0.06926265964246311,0.017143177815661437
GKBug_v3,9,10,0,1,0,72.06666666666666,26.0,0.06629172775937052,0.012893478340256646
GKBug_v3,9,11,0,1,0,58.925000000000004,34.5,0.08244818596748103,0.020741707203616684
GKBug_v3,9,12,0,0,1,60.891666666666666,34.75,0.07718440617698347,0.008261536621357656
GKBug_v3,9,13,0,1,0,85.95,19.0,0.05731103563405202,0.00972586121395306
GKBug_v3,9,14,0,1,0,30.59166666666667,27.5,0.04533648997461271,0.013556935387432537
GKBug_v3,9,15,0,1,0,71.55,13.75,0.044296256051954926,0.004730854593072853
GKBug_v3,9,16,0,1,0,33.925,5.75,0.08231579802707764,0.002831915461560942
GKBug_v3,9,17,1,0,0,59.44166666666667,34.5,0.06287492014542416,0.026294778665058253
GKBug_v3,9,18,1,0,0,44.574999999999996,24.0,0.05191797808036703,0.009802258684063023
GKBug_v3,9,19,0,1,0,66.18333333333334,30.25,0.07945567163117682,0.011565096140748393
GKBug_v3,9,20,0,0,1,38.775,20.5,0.10822308068426552,0.02314196497583191
GKBug_v3,9,21,0,0,1,26.974999999999998,22.5,0.0962779209395271,0.013637317855283949
GKBug_v3,9,22,0,1,0,51.09166666666667,40.75,0.07847856594966042,0.017391468137178862
GKBug_v3,9,23,0,1,0,39.65833333333333,18.0,0.05566363251540839,0.007080781456614129
GKBug_v3,9,24,0,1,0,31.916666666666664,9.75,0.06832579664580536,0.0029554991397815517
GKBug_v3,9,0,1,0,0,57.86666666666667,21.0,0.06569450135010116,0.012356287675490282
GKBug_v3,9,1,0,0,1,36.65,11.75,0.03899429217840871,0.005312199930260195
GKBug_v3,9,2,0,1,0,23.275000000000002,12.5,0.08393210713830282,0.010744849073914035
GKBug_v3,9,3,0,1,0,52.75,26.0,0.07001873556189973,0.010494825034861877
GKBug_v3,9,4,1,0,0,60.75000000000001,40.0,0.07863352349896663,0.018566335535068538
GKBug_v3,9,5,0,1,0,30.0,4.75,0.05250817147870344,0.003921765521632854
GKBug_v3,9,6,0,0,1,67.20833333333334,40.0,0.07027317050325647,0.010259519620524592
GKBug_v3,9,7,1,0,0,61.18333333333334,44.0,0.10447682750167755,0.01921725097204612
GKBug_v3,9,8,0,1,0,59.358333333333334,25.0,0.07678892639516947,0.01170348936980655
GKBug_v3,9,9,0,1,0,27.525,9.0,0.06269115239365206,0.0057471843481787235
GKBug_v3,9,10,1,0,0,61.64166666666666,45.5,0.07258000389815926,0.01545393595084529
GKBug_v3,9,11,0,1,0,5.949999999999999,5.0,0.06905045509527599,0.0019884375666412105
GKBug_v3,9,12,1,0,0,22.8,15.5,0.08299748575329784,0.010517070768343318
GKBug_v3,9,13,0,0,1,50.575,26.75,0.07700525312141827,0.011895148297234943
GKBug_v3,9,14,1,0,0,24.84166666666667,20.5,0.057380352232356824,0.011868508351438418
GKBug_v3,9,15,0,1,0,56.525000000000006,8.0,0.04684807841210604,0.007438512117133237
GKBug_v3,9,16,1,0,0,47.516666666666666,35.5,0.05739444510311398,0.02405853692800277
GKBug_v3,9,17,0,1,0,58.51666666666666,25.25,0.06647027452807434,0.016769081727174784
GKBug_v3,9,18,1,0,0,87.74166666666666,13.5,0.06972062933945275,0.004503163721139384
GKBug_v3,9,19,0,1,0,74.5,3.75,0.0,0.0006243050354462898
GKBug_v3,9,20,1,0,0,67.25,32.5,0.05451083540913759,0.012806225090154647
GKBug_v3,9,21,0,1,0,58.325,31.5,0.06126420478132322,0.030619002015634385
GKBug_v3,9,22,1,0,0,53.09166666666667,30.25,0.08302926044670733,0.017666671426512303
GKBug_v3,9,23,0,1,0,58.06666666666666,21.75,0.1243554797601384,0.0069248240978522346
GKBug_v3,9,24,1,0,0,51.49166666666667,33.0,0.07962793057278947,0.013481458671158936
