policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v2,10,0,0,0,1,36.016666666666666,14.75,0.060773191111034554,0.0055995986471329825
GKBug_v2,10,1,0,0,1,50.16666666666667,15.75,0.06899827552778905,0.00824951479077423
GKBug_v2,10,2,0,1,0,60.14166666666667,45.75,0.07489685698971958,0.0330102842785961
GKBug_v2,10,3,1,0,0,28.541666666666664,26.5,0.07858894953289418,0.014934924282414604
GKBug_v2,10,4,0,1,0,87.05000000000001,8.5,0.10250745424455962,0.01096802498534287
GKBug_v2,10,5,0,1,0,59.69166666666666,34.75,0.04623974581729946,0.01835646627922991
GKBug_v2,10,6,0,1,0,76.925,15.0,0.062477437298509644,0.009155940276412597
GKBug_v2,10,7,0,1,0,50.641666666666666,2.5,0.0,0.0005837358341582223
GKBug_v2,10,8,1,0,0,68.10833333333333,34.0,0.0816920068494336,0.016736189431278588
GKBug_v2,10,9,1,0,0,54.89166666666667,23.25,0.08842574788391595,0.007525064866336138
GKBug_v2,10,10,0,0,1,73.475,7.25,0.059214345082907086,0.002302312930363474
GKBug_v2,10,11,1,0,0,50.849999999999994,23.25,0.06358588504837444,0.012779063010127774
GKBug_v2,10,12,1,0,0,64.88333333333334,48.5,0.07637264142713698,0.013795218637242312
GKBug_v2,10,13,0,1,0,69.125,28.25,0.07589839475603002,0.0069077074417486315
GKBug_v2,10,14,1,0,0,86.1,18.5,0.09241544067551129,0.02130347196857921
GKBug_v2,10,15,0,1,0,65.94166666666666,54.0,0.06831665820274244,0.017112829710799877
GKBug_v2,10,16,1,0,0,72.625,41.75,0.11031536821640796,0.02160665832122462
GKBug_v2,10,17,0,0,1,64.125,29.0,0.03528787823796581,0.01813681182350885
GKBug_v2,10,18,0,1,0,49.825,14.25,0.07736708289277137,0.006542527312285339
GKBug_v2,10,19,0,1,0,76.09166666666667,4.25,0.0,0.0011936568479196223
GKBug_v2,10,20,0,1,0,6.166666666666667,7.0,0.05448824663411575,0.002109413842731506
GKBug_v2,10,21,0,1,0,51.625,24.25,0.07777769176792623,0.013848996188728507
GKBug_v2,10,22,0,1,0,7.008333333333333,7.5,0.03424159762326431,0.011199056304019664
GKBug_v2,10,23,0,0,1,65.10000000000001,43.5,0.060338129390405344,0.011794286705737648
GKBug_v2,10,24,0,0,1,47.18333333333333,17.75,0.071377064171611,0.006003816298569598
