policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v3,19,0,0,1,0,44.2,16.25,0.10269483764795251,0.009020344232880673
GKBug_v3,19,1,1,0,0,42.90833333333333,26.0,0.05241647803856225,0.010936988735146945
GKBug_v3,19,2,0,1,0,64.59166666666667,33.25,0.06848871267863124,0.027803307681996358
GKBug_v3,19,3,1,0,0,65.3,48.75,0.06794898155590688,0.016490328553191182
GKBug_v3,19,4,0,0,1,23.0,12.0,0.07680676257125936,0.01607888324055537
GKBug_v3,19,5,0,1,0,74.78333333333333,2.25,0.0,0.0004872420287228422
GKBug_v3,19,6,0,1,0,25.35,0.75,0.055338226973143924,0.0008342805023687269
GKBug_v3,19,7,0,1,0,40.699999999999996,18.5,0.05312292291888547,0.006190418136463869
GKBug_v3,19,8,0,1,0,70.39166666666667,38.75,0.09636277246866204,0.009078213329518685
GKBug_v3,19,9,0,0,1,45.04166666666667,26.0,0.07075589039616009,0.02126424348598922
GKBug_v3,19,10,1,0,0,69.56666666666666,52.25,0.08308373945290265,0.016044959129745205
GKBug_v3,19,11,0,1,0,50.28333333333334,22.75,0.10525884491965753,0.008556678795809625
GKBug_v3,19,12,1,0,0,47.28333333333333,30.75,0.08803372198994346,0.010842371851966183
GKBug_v3,19,13,1,0,0,58.650000000000006,40.75,0.06536962312792978,0.014352185829062735
GKBug_v3,19,14,1,0,0,66.825,50.25,0.06426300956829496,0.02354622914414755
GKBug_v3,19,15,0,1,0,18.21666666666667,21.25,0.03513739851284011,0.010967391567020842
GKBug_v3,19,16,0,1,0,92.95,5.0,0.0974567967585071,0.0019856976100152274
GKBug_v3,19,17,0,0,1,53.06666666666666,8.5,0.026532094136623736,0.002263252983375496
GKBug_v3,19,18,0,1,0,39.85,15.25,0.060795112972515775,0.01179992051869555
GKBug_v3,19,19,1,0,0,54.516666666666666,30.75,0.06263061232284063,0.011625664935547748
GKBug_v3,19,20,0,1,0,71.42500000000001,46.5,0.06791419028438828,0.017196292006496233
GKBug_v3,19,21,0,0,1,55.03333333333333,21.25,0.031859184205038214,0.009055400760351273
GKBug_v3,19,22,1,0,0,64.76666666666667,47.25,0.07081649111111947,0.01465464507159245
GKBug_v3,19,23,0,1,0,71.49166666666666,7.5,0.08153449999420477,0.00887285448204245
GKBug_v3,19,24,1,0,0,64.99166666666667,45.0,0.057343188055018916,0.018603118654181655
