policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v2,18,0,1,0,0,62.84166666666666,50.0,0.06713946213358338,0.02332993028926042
GKBug_v2,18,1,0,1,0,99.575,4.0,0.0,0.00025610978189427483
GKBug_v2,18,2,1,0,0,78.93333333333334,28.5,0.09019706732042429,0.014006604023183884
GKBug_v2,18,3,0,0,1,82.08333333333333,20.0,0.09818931074253187,0.005792910404483164
GKBug_v2,18,4,0,1,0,63.21666666666667,15.5,0.08860244072177209,0.017305429152103414
GKBug_v2,18,5,0,1,0,70.59166666666667,7.25,0.06805883525655321,0.004895637854908612
GKBug_v2,18,6,1,0,0,66.55833333333334,27.75,0.08467625460798793,0.016591830085662108
GKBug_v2,18,7,0,1,0,59.64166666666667,41.0,0.08626208059404136,0.039413160085180136
GKBug_v2,18,8,1,0,0,94.23333333333333,7.0,0.057486550797802155,0.002863400929759439
GKBug_v2,18,9,0,1,0,40.208333333333336,10.75,0.07903555440682537,0.016287024613241524
GKBug_v2,18,10,1,0,0,64.35833333333333,29.75,0.06737061252590086,0.011650471486139046
GKBug_v2,18,11,1,0,0,64.98333333333333,27.0,0.08008207586134329,0.01941802821050803
GKBug_v2,18,12,1,0,0,91.375,13.0,0.07507689961532735,0.005919190976844765
GKBug_v2,18,13,0,1,0,96.275,7.5,0.07599537209376664,0.0003357861780208807
GKBug_v2,18,14,1,0,0,64.75833333333333,38.25,0.060790149024165845,0.010895932959870468
GKBug_v2,18,15,1,0,0,73.6,44.0,0.057253960228908767,0.010803221188957445
GKBug_v2,18,16,1,0,0,89.55833333333332,16.5,0.05703095174658284,0.0023331379833693646
GKBug_v2,18,17,0,1,0,79.45,21.0,0.06296439037128486,0.015523355398520886
GKBug_v2,18,18,1,0,0,53.766666666666666,44.25,0.05583018430555696,0.02253603592763011
GKBug_v2,18,19,0,1,0,63.18333333333334,36.75,0.06460019323308748,0.013178774063205357
GKBug_v2,18,20,1,0,0,55.15,36.75,0.061901525272042845,0.01797207309063659
GKBug_v2,18,21,0,1,0,63.541666666666664,19.0,0.035342560052937226,0.006692322690913383
GKBug_v2,18,22,0,1,0,55.99166666666666,46.25,0.06351084712996895,0.023948035188242303
GKBug_v2,18,23,0,0,1,95.28333333333333,9.5,0.05914335144261219,0.0005796555835803357
GKBug_v2,18,24,1,0,0,41.975,30.25,0.07933291744797169,0.020065446293435547
GKBug_v2,18,0,1,0,0,56.708333333333336,57.5,0.07558573158011433,0.012687449339367097
GKBug_v2,18,1,1,0,0,62.40833333333333,49.75,0.0585805691069776,0.00849894742938539
GKBug_v2,18,2,1,0,0,59.25833333333333,53.25,0.06882506991809685,0.010632390443547957
GKBug_v2,18,3,1,0,0,66.625,78.25,0.06534726232827116,0.007710343079826296
GKBug_v2,18,4,1,0,0,97.19166666666666,4.5,0.06532311725893458,0.00259138102687556
GKBug_v2,18,5,1,0,0,54.98333333333333,58.5,0.07903628077259407,0.012075087452316544
GKBug_v2,18,6,1,0,0,61.38333333333333,48.0,0.057016838805200074,0.01597541183898797
GKBug_v2,18,7,0,1,0,28.425,2.75,0.07785037856020909,0.001727608018777254
GKBug_v2,18,8,0,1,0,27.808333333333334,6.25,0.05881670654953839,0.0012534509762945514
GKBug_v2,18,9,1,0,0,18.916666666666668,21.0,0.06924644795452486,0.006575682493376799
GKBug_v2,18,10,1,0,0,61.4,52.5,0.06852057572298602,0.011366668330720907
GKBug_v2,18,11,1,0,0,56.766666666666666,14.75,0.05733057848378507,0.005216119492955814
GKBug_v2,18,12,0,1,0,25.441666666666666,3.25,0.03969001466276724,0.0005225390735657759
GKBug_v2,18,13,1,0,0,58.666666666666664,44.75,0.06810377251600841,0.011851291873572863
GKBug_v2,18,14,1,0,0,56.39999999999999,64.75,0.03842019655657361,0.007361967557196224
GKBug_v2,18,15,1,0,0,42.45833333333333,26.0,0.06735724441068888,0.006508195866273928
GKBug_v2,18,16,1,0,0,60.73333333333333,46.0,0.06837630666938484,0.01219693948899015
GKBug_v2,18,17,1,0,0,40.36666666666667,30.5,0.045823477924570664,0.015823321311556386
GKBug_v2,18,18,1,0,0,61.05833333333334,48.25,0.0751938565083001,0.028143801364454723
GKBug_v2,18,19,0,1,0,41.199999999999996,20.5,0.02789926785682651,0.00811912190931523
GKBug_v2,18,20,1,0,0,72.425,49.75,0.06668732857124729,0.005026129459173225
GKBug_v2,18,21,1,0,0,70.175,38.0,0.06632310694239954,0.009180254065191266
GKBug_v2,18,22,0,1,0,24.975,0.25,0.04348723874661222,0.0005133932574051739
GKBug_v2,18,23,0,1,0,27.6,5.75,0.041319095602968196,0.0011033977038330714
GKBug_v2,18,24,1,0,0,58.425000000000004,32.0,0.06850242424575145,0.0036531986242195596
