policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v0,10,0,0,1,0,49.875,4.75,0.06496033910877298,0.0009454820082163958
GKBug_v0,10,1,1,0,0,54.78333333333333,42.0,0.07054870469682366,0.018691296543099693
GKBug_v0,10,2,1,0,0,54.41666666666667,44.5,0.060072973517347306,0.014807268007858015
GKBug_v0,10,3,1,0,0,51.49166666666667,51.0,0.05893249116527492,0.009841210634590963
GKBug_v0,10,4,1,0,0,27.108333333333334,4.75,0.04069834413424303,0.0011240891702168207
GKBug_v0,10,5,0,1,0,62.83333333333333,19.5,0.06973044297646183,0.008432768108601319
GKBug_v0,10,6,1,0,0,40.75,27.75,0.051514000257596976,0.008831590251485522
GKBug_v0,10,7,1,0,0,60.275,39.0,0.054033141467129744,0.014723518964516315
GKBug_v0,10,8,1,0,0,61.525,23.0,0.06454296044369441,0.006851774045610836
GKBug_v0,10,9,1,0,0,65.59166666666667,53.25,0.09328191241268204,0.01570197761518043
GKBug_v0,10,10,1,0,0,53.71666666666667,63.25,0.06747957889882687,0.009425087012195585
GKBug_v0,10,11,0,1,0,49.0,19.0,0.04820444538413295,0.009379552970171665
GKBug_v0,10,12,1,0,0,54.36666666666666,40.75,0.05611381261543691,0.013907346882505913
GKBug_v0,10,13,1,0,0,55.608333333333334,40.0,0.06697212472146587,0.016053667686141145
GKBug_v0,10,14,0,1,0,49.25833333333333,1.25,0.0461609094269673,0.0003579468425836705
GKBug_v0,10,15,1,0,0,59.550000000000004,55.75,0.06494202361731272,0.010823346650052895
GKBug_v0,10,16,1,0,0,47.349999999999994,35.25,0.061461340229368465,0.013590651535250473
GKBug_v0,10,17,1,0,0,52.541666666666664,56.75,0.08525597311871082,0.01712893492200369
GKBug_v0,10,18,0,1,0,48.975,5.25,0.05669518015111283,0.0010493479869141896
GKBug_v0,10,19,1,0,0,60.12499999999999,48.75,0.06798180880187416,0.01661017724329763
GKBug_v0,10,20,1,0,0,56.45,25.25,0.046953527462265957,0.00672676751407724
GKBug_v0,10,21,1,0,0,54.175,50.5,0.07788976616002029,0.017330664949555857
GKBug_v0,10,22,1,0,0,50.93333333333333,20.75,0.06013904625819048,0.020475760583575642
GKBug_v0,10,23,1,0,0,61.21666666666666,59.75,0.07218369313810744,0.021328392360318894
GKBug_v0,10,24,1,0,0,43.916666666666664,13.75,0.055212849551942084,0.003061339968252248
