policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v0,6,0,1,0,0,58.61666666666666,40.75,0.06001688763087195,0.016516548227848635
GKBug_v0,6,1,1,0,0,51.725,55.5,0.07281822130928615,0.008685717897679147
GKBug_v0,6,2,0,1,0,37.61666666666667,1.25,0.04074148156032463,0.0004895400047664194
GKBug_v0,6,3,1,0,0,66.51666666666667,47.25,0.06617614951530215,0.011093757379089794
GKBug_v0,6,4,1,0,0,52.725,60.25,0.07346950538488653,0.012637718031898327
GKBug_v0,6,5,1,0,0,59.333333333333336,46.5,0.05736272229505558,0.010411746812451632
GKBug_v0,6,6,1,0,0,49.291666666666664,33.75,0.06589700227602314,0.015158447310816687
GKBug_v0,6,7,1,0,0,58.58333333333333,45.25,0.05218220000123108,0.011153993568348093
GKBug_v0,6,8,0,1,0,48.9,9.25,0.06600588490060945,0.0065759582416559
GKBug_v0,6,9,0,1,0,26.224999999999998,2.75,0.10658539404710463,0.00017239798941440676
GKBug_v0,6,10,1,0,0,54.19166666666667,50.5,0.07501702480136643,0.014869011771343477
GKBug_v0,6,11,1,0,0,51.2,54.0,0.07372989009506556,0.012371555239492139
GKBug_v0,6,12,1,0,0,62.26666666666667,49.75,0.05705811771166513,0.009059818109564074
GKBug_v0,6,13,1,0,0,59.84166666666667,55.5,0.07833209182173834,0.00762210418275701
GKBug_v0,6,14,0,1,0,49.85,1.0,0.048266199512796315,0.0002791061739230832
GKBug_v0,6,15,1,0,0,55.266666666666666,58.5,0.06792729065549828,0.011091474592384166
GKBug_v0,6,16,1,0,0,54.53333333333333,48.5,0.07437621726839658,0.016263064843357246
GKBug_v0,6,17,1,0,0,54.50000000000001,49.5,0.05617467217806773,0.011733833566358504
GKBug_v0,6,18,0,1,0,54.31666666666667,10.5,0.05133866578141305,0.004034797358160817
GKBug_v0,6,19,1,0,0,96.00833333333333,4.5,0.04717779004037183,0.0005389360672995917
GKBug_v0,6,20,0,1,0,49.38333333333333,3.25,0.051802451512619335,0.0007397944170427853
GKBug_v0,6,21,1,0,0,59.8,58.75,0.07064120607764182,0.02394341115800758
GKBug_v0,6,22,1,0,0,51.71666666666667,33.5,0.06297157814572955,0.012650654564738174
GKBug_v0,6,23,1,0,0,61.83333333333333,54.0,0.05686524099472619,0.011686815704173
GKBug_v0,6,24,1,0,0,59.54166666666667,43.25,0.061589796902106406,0.012040021224521382
