policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v2,11,0,0,1,0,43.25,31.5,0.0596166736210522,0.02515417987478115
GKBug_v2,11,1,0,1,0,62.25833333333334,34.75,0.07775016836966768,0.011631490225425542
GKBug_v2,11,2,0,1,0,84.68333333333334,20.5,0.07780294895068648,0.004741152878537209
GKBug_v2,11,3,0,0,1,55.625,12.5,0.09703724511283955,0.006713879743814059
GKBug_v2,11,4,1,0,0,49.9,27.5,0.05496376344315264,0.014031882299382263
GKBug_v2,11,5,1,0,0,70.64166666666667,14.75,0.09599437007510861,0.007028580528866229
GKBug_v2,11,6,1,0,0,67.23333333333333,42.25,0.0484396252027438,0.015700199618453828
GKBug_v2,11,7,0,0,1,44.78333333333334,11.75,0.06226717003678106,0.00918846091228872
GKBug_v2,11,8,1,0,0,46.291666666666664,19.25,0.07613453302488242,0.005024733130018524
GKBug_v2,11,9,0,1,0,54.55,26.75,0.07042515125375833,0.02175635226265834
GKBug_v2,11,10,0,1,0,3.7249999999999996,3.5,0.0991146211041725,0.0022456520916089495
GKBug_v2,11,11,0,1,0,75.74166666666666,3.25,0.0,0.00017697891104119688
GKBug_v2,11,12,0,1,0,30.258333333333333,10.0,0.09477655196297945,0.009427621352907017
GKBug_v2,11,13,0,1,0,95.03333333333333,9.5,0.038226610379327466,0.0044020092710703625
GKBug_v2,11,14,1,0,0,43.03333333333333,16.75,0.08501502125128989,0.003439008445007283
GKBug_v2,11,15,1,0,0,54.266666666666666,18.0,0.03378256719857914,0.007742508235042345
GKBug_v2,11,16,0,0,1,61.75000000000001,39.75,0.08782828148151275,0.03466401153481294
GKBug_v2,11,17,0,0,1,33.85,9.75,0.06247304898147121,0.0035736451399847186
GKBug_v2,11,18,0,0,1,77.01666666666667,17.0,0.09132749183067988,0.005750997317526544
GKBug_v2,11,19,0,1,0,35.75,5.25,0.09760459920971089,0.003061826736549491
GKBug_v2,11,20,1,0,0,63.541666666666664,35.75,0.05749422173164769,0.011519228139784177
GKBug_v2,11,21,1,0,0,49.00833333333333,29.75,0.06680209655163621,0.008084172044245648
GKBug_v2,11,22,1,0,0,96.72500000000001,4.0,0.06619015280876622,0.0007094151493396109
GKBug_v2,11,23,1,0,0,65.54166666666667,42.0,0.07644643821731241,0.024731256532168365
GKBug_v2,11,24,1,0,0,67.40833333333333,24.25,0.10495366462860811,0.010157512918306199
