policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
PassingMain_v2,3,0,1,0,0,95.86666666666666,14.5,0.1126477994892333,0.0822425459227483
PassingMain_v2,3,1,1,0,0,95.54166666666667,15.5,0.14282295025370265,0.07045665074935988
PassingMain_v2,3,2,1,0,0,93.575,16.0,0.1293211296810163,0.07744530636794711
PassingMain_v2,3,3,1,0,0,92.60000000000001,16.75,0.14225147723709672,0.07380105499528636
PassingMain_v2,3,4,1,0,0,92.40833333333333,23.5,0.12353282519543574,0.08123549298335564
PassingMain_v2,3,5,1,0,0,94.64166666666667,21.75,0.12971846254300473,0.09825699952061838
PassingMain_v2,3,6,0,1,0,94.05833333333334,14.5,0.13300071262483185,0.08070150691613781
PassingMain_v2,3,7,1,0,0,91.63333333333334,16.5,0.17251438717278464,0.07959760776725981
PassingMain_v2,3,8,1,0,0,91.15833333333333,26.0,0.13375931415709666,0.07518057558981397
PassingMain_v2,3,9,1,0,0,92.83333333333333,25.5,0.10981703836356967,0.09348936732369048
PassingMain_v2,3,10,1,0,0,93.81666666666668,13.0,0.1229927817726149,0.06973301570554312
PassingMain_v2,3,11,1,0,0,93.75,17.5,0.1522067891213697,0.09195034480065735
PassingMain_v2,3,12,1,0,0,92.15833333333333,22.75,0.1519500449051841,0.09315143440645571
PassingMain_v2,3,13,1,0,0,92.60000000000001,14.5,0.13471515778559173,0.09548703155117924
PassingMain_v2,3,14,1,0,0,92.925,19.0,0.11608087393553362,0.08673479859979251
PassingMain_v2,3,15,0,0,1,93.625,19.25,0.1363097738049073,0.08305327701132692
PassingMain_v2,3,16,1,0,0,94.39166666666667,18.5,0.1043729193836205,0.07359239153622264
PassingMain_v2,3,17,1,0,0,94.16666666666667,18.0,0.12678660470790132,0.049307329089056925
PassingMain_v2,3,18,1,0,0,95.69166666666666,20.25,0.10162206053912559,0.06814782210033465
PassingMain_v2,3,19,1,0,0,92.925,20.5,0.12819560805147764,0.09403736678286903
PassingMain_v2,3,20,1,0,0,95.99166666666666,17.5,0.13203268377139094,0.06089817722180794
PassingMain_v2,3,21,1,0,0,90.23333333333333,21.5,0.13530356181915693,0.09803280083895523
PassingMain_v2,3,22,1,0,0,93.05833333333334,22.0,0.14063914033052238,0.0874080241739287
PassingMain_v2,3,23,1,0,0,93.13333333333334,16.75,0.10862728045626743,0.07084965854428912
PassingMain_v2,3,24,1,0,0,92.80000000000001,19.5,0.13067582250086665,0.08293895246414673
PassingMain_v2,3,0,1,0,0,95.70833333333333,16.75,0.14009812837406038,0.08949226320716776
PassingMain_v2,3,1,0,1,0,90.69166666666668,20.25,0.11993959393421107,0.07873458642286779
PassingMain_v2,3,2,1,0,0,94.28333333333333,10.5,0.09570715084836963,0.05756893418208309
PassingMain_v2,3,3,1,0,0,90.90833333333333,21.0,0.14367927121781213,0.08329758782680866
PassingMain_v2,3,4,1,0,0,93.025,24.5,0.15224305110296596,0.07757055781706922
PassingMain_v2,3,5,0,0,1,95.63333333333334,15.0,0.08576973315280594,0.05015635859887141
PassingMain_v2,3,6,0,1,0,93.18333333333332,13.0,0.12956783402818675,0.07827726659877177
PassingMain_v2,3,7,0,1,0,92.25833333333333,18.5,0.12820846789658788,0.06880738560050736
PassingMain_v2,3,8,1,0,0,95.63333333333334,11.0,0.1108342057885916,0.07838872074258936
PassingMain_v2,3,9,0,0,1,93.65833333333333,19.25,0.13076691613711866,0.056114593923144336
PassingMain_v2,3,10,1,0,0,94.425,16.0,0.10988369470160363,0.07191787168883752
PassingMain_v2,3,11,1,0,0,93.65,15.5,0.11401223781454578,0.06459823237115882
PassingMain_v2,3,12,1,0,0,95.05,17.5,0.12232769022682605,0.08902037616857592
PassingMain_v2,3,13,0,0,1,94.8,17.0,0.18611612628553123,0.08626392037044357
PassingMain_v2,3,14,1,0,0,93.14166666666667,16.5,0.12090220133422895,0.0673386304724337
PassingMain_v2,3,15,0,1,0,93.89999999999999,17.0,0.1584910513731937,0.08211288819273256
PassingMain_v2,3,16,1,0,0,93.89166666666667,18.5,0.14529584243414645,0.07036476417993899
PassingMain_v2,3,17,1,0,0,94.26666666666667,19.5,0.13018200227459342,0.06546823575405242
PassingMain_v2,3,18,1,0,0,93.99166666666666,19.5,0.12505791795190363,0.09858808860118376
PassingMain_v2,3,19,1,0,0,92.26666666666667,21.0,0.10472515705628058,0.048898930076532454
PassingMain_v2,3,20,1,0,0,94.63333333333334,22.5,0.10686637641164515,0.06814926192720447
PassingMain_v2,3,21,0,1,0,92.475,17.75,0.19363464294212812,0.08920701477389237
PassingMain_v2,3,22,1,0,0,91.57499999999999,25.75,0.1278910880338133,0.08776377299454409
PassingMain_v2,3,23,1,0,0,95.29166666666666,23.0,0.10464077292245523,0.08208983096978495
PassingMain_v2,3,24,0,0,1,93.31666666666666,13.75,0.12319181691400494,0.07653633653779846
