policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v0,19,0,1,0,0,59.28333333333333,50.0,0.09049003489870595,0.014527489162143196
GKBug_v0,19,1,1,0,0,66.59166666666667,38.5,0.05669880201031936,0.012508490847887918
GKBug_v0,19,2,0,1,0,84.83333333333334,19.5,0.08376389787607318,0.005477898469252002
GKBug_v0,19,3,1,0,0,70.18333333333334,44.25,0.065603783117037,0.010076386379944792
GKBug_v0,19,4,0,1,0,49.75,19.25,0.05245520814192642,0.006818945093299403
GKBug_v0,19,5,0,1,0,88.44166666666666,12.5,0.048425066001144275,0.002122804750137426
GKBug_v0,19,6,0,1,0,83.73333333333333,2.0,0.04718233610968722,0.0004545556791191788
GKBug_v0,19,7,0,1,0,71.00833333333333,37.25,0.08280810882534889,0.020210004182897288
GKBug_v0,19,8,1,0,0,58.49166666666667,46.5,0.07043266045198941,0.019449363080394265
GKBug_v0,19,9,1,0,0,80.175,37.75,0.07444539141179567,0.013716338721218595
GKBug_v0,19,10,0,1,0,57.8,19.5,0.06447170830272717,0.013442258398046235
GKBug_v0,19,11,1,0,0,79.2,21.25,0.10943413012288503,0.006081553976616343
GKBug_v0,19,12,1,0,0,65.66666666666666,45.75,0.06458696992408991,0.010689930685014394
GKBug_v0,19,13,0,1,0,75.2,11.25,0.09572699109949018,0.0006423303608069066
GKBug_v0,19,14,0,1,0,66.07499999999999,34.5,0.06492497356910916,0.022275784095864615
GKBug_v0,19,15,1,0,0,66.60833333333333,49.75,0.060474096573095416,0.020642861624504405
GKBug_v0,19,16,1,0,0,69.71666666666667,38.25,0.06585299769333114,0.01477263584907887
GKBug_v0,19,17,0,1,0,68.35,46.5,0.06624818229498168,0.021183489794672855
GKBug_v0,19,18,1,0,0,46.233333333333334,27.75,0.039034974406068824,0.009899121635819984
GKBug_v0,19,19,0,1,0,82.875,28.0,0.05952292502522224,0.0042796744823738525
GKBug_v0,19,20,1,0,0,58.81666666666666,38.0,0.05502302737338551,0.019726679616052966
GKBug_v0,19,21,0,1,0,99.45,3.0,0.0,2.5613579875093893e-05
GKBug_v0,19,22,1,0,0,68.22500000000001,39.5,0.07760381274442885,0.019147785815449615
GKBug_v0,19,23,1,0,0,63.1,41.0,0.062058636032035014,0.02259427198948015
GKBug_v0,19,24,0,1,0,51.37500000000001,3.5,0.05212224892364997,0.0017415966731361234
