policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
PassingMain_v2,13,0,1,0,0,93.45,24.0,0.13289189874666885,0.061918777845375916
PassingMain_v2,13,1,1,0,0,90.325,25.75,0.09546832501680748,0.07168855780715275
PassingMain_v2,13,2,1,0,0,94.43333333333334,18.5,0.10119255392320471,0.06967645633901827
PassingMain_v2,13,3,1,0,0,94.175,19.5,0.12841416221308727,0.07279495212529981
PassingMain_v2,13,4,1,0,0,90.69166666666668,27.0,0.13949478985842292,0.08647586883718447
PassingMain_v2,13,5,0,1,0,94.13333333333334,10.5,0.1202944747854043,0.07131592642284719
PassingMain_v2,13,6,1,0,0,95.24166666666667,14.5,0.1048780361068326,0.07242944310013591
PassingMain_v2,13,7,1,0,0,93.06666666666666,18.0,0.12184191517797975,0.07053631594207087
PassingMain_v2,13,8,1,0,0,91.80833333333334,24.5,0.13601906663927846,0.09727725861325583
PassingMain_v2,13,9,1,0,0,93.24166666666667,23.0,0.11955315549422275,0.07198165104048072
PassingMain_v2,13,10,0,0,1,92.25833333333333,23.0,0.1427053567763938,0.11373200174123164
PassingMain_v2,13,11,1,0,0,95.10833333333333,18.0,0.1190826847438448,0.07783386480735172
PassingMain_v2,13,12,1,0,0,95.025,11.0,0.14135689555548764,0.11230344669979285
PassingMain_v2,13,13,1,0,0,92.44166666666666,17.0,0.1434139767203851,0.07294457072321779
PassingMain_v2,13,14,0,0,1,94.10833333333333,17.0,0.13780258853588584,0.09027074874762693
PassingMain_v2,13,15,1,0,0,95.15833333333333,15.5,0.12824195376165692,0.10606614441699767
PassingMain_v2,13,16,1,0,0,93.35,21.0,0.12987118398616412,0.06762966126130461
PassingMain_v2,13,17,0,1,0,94.71666666666667,14.5,0.09440274254229881,0.07970352067158577
PassingMain_v2,13,18,1,0,0,94.81666666666668,16.5,0.08971945159010293,0.05960435210588006
PassingMain_v2,13,19,1,0,0,94.34166666666667,13.75,0.16542547595281526,0.10109825818833991
PassingMain_v2,13,20,1,0,0,92.79166666666666,21.5,0.14425182680622617,0.07598416158637629
PassingMain_v2,13,21,0,1,0,93.09166666666667,18.5,0.15907994966772782,0.10128954295459122
PassingMain_v2,13,22,1,0,0,93.55,24.5,0.12206100616853334,0.08319897803874815
PassingMain_v2,13,23,0,1,0,93.10000000000001,17.25,0.13456373941229188,0.08495552144025235
PassingMain_v2,13,24,1,0,0,93.71666666666667,19.0,0.11340766130377854,0.06638198725746028
PassingMain_v2,13,0,1,0,0,94.3,13.75,0.10442977119239895,0.08134088686658554
PassingMain_v2,13,1,0,1,0,94.21666666666667,18.5,0.12797392232302993,0.08164521078626363
PassingMain_v2,13,2,1,0,0,94.125,22.75,0.13015931917996085,0.06798333632141053
PassingMain_v2,13,3,1,0,0,94.35,18.75,0.11613503453194043,0.0667465763029396
PassingMain_v2,13,4,1,0,0,90.60000000000001,26.25,0.12178497348029645,0.09380153824590753
PassingMain_v2,13,5,0,1,0,93.19166666666666,11.0,0.11614052253884434,0.06276783825571654
PassingMain_v2,13,6,0,1,0,95.11666666666667,12.5,0.12700842019878572,0.08953861907512654
PassingMain_v2,13,7,1,0,0,92.95833333333333,24.75,0.1129109900505073,0.09715787814489323
PassingMain_v2,13,8,1,0,0,89.31666666666666,28.5,0.14778401834381366,0.09781570842296312
PassingMain_v2,13,9,1,0,0,93.35833333333333,17.5,0.1283437578881315,0.11062265212053013
PassingMain_v2,13,10,1,0,0,91.35833333333333,20.0,0.12717666728600593,0.0981731344963227
PassingMain_v2,13,11,1,0,0,94.89166666666667,16.75,0.11252091802019601,0.07175480398156409
PassingMain_v2,13,12,1,0,0,92.525,17.5,0.09220030421162982,0.08823001799066804
PassingMain_v2,13,13,1,0,0,94.075,19.0,0.11754190690725255,0.06916589398886928
PassingMain_v2,13,14,1,0,0,94.35833333333333,11.0,0.10037622774703708,0.07561949655577188
PassingMain_v2,13,15,0,1,0,96.64166666666667,8.0,0.1225023947456779,0.06136706880260719
PassingMain_v2,13,16,0,1,0,92.51666666666667,23.75,0.12002539987509853,0.06861625852464279
PassingMain_v2,13,17,1,0,0,95.61666666666667,19.0,0.09337133987713016,0.07375146331556903
PassingMain_v2,13,18,1,0,0,94.95833333333333,16.5,0.12244631220603537,0.07309112345562645
PassingMain_v2,13,19,1,0,0,94.64166666666667,19.0,0.11159552593092001,0.06835198620272177
PassingMain_v2,13,20,0,1,0,94.10833333333333,17.75,0.10811690706785314,0.06122425081523949
PassingMain_v2,13,21,1,0,0,94.11666666666667,17.5,0.1121507176880208,0.06490052589545071
PassingMain_v2,13,22,1,0,0,94.0,22.0,0.10281671270723834,0.07928943931857108
PassingMain_v2,13,23,0,1,0,94.325,21.0,0.08355587988755542,0.05551177376515882
PassingMain_v2,13,24,1,0,0,93.49166666666666,20.75,0.13910664907794917,0.06081191179421859
