n_steps,left_score,right_score,win,draw,loss,sap,sbf,mecha,cv,possession_fraction,sap_1st_half,sap_2nd_half,sbf_1st_half,sbf_2nd_half,mecha_1st_half,mecha_2nd_half,cv_1st_half,cv_2nd_half,episode
3000,0,3,0,0,1,51.74166666666666,166.75,0.05456312707634624,0.07480559451141255,0.05366666666666667,54.53333333333333,48.949999999999996,82.75,84.0,0.054377666481745766,0.05537297167276833,0.07276058891027638,0.07563194065056941,0
3000,0,4,0,0,1,49.15,164.5,0.054134505310587146,0.058151543918041476,0.02033333333333333,46.550000000000004,51.74999999999999,81.75,82.75,0.06387995723406537,0.04823594230427138,0.053842930163951745,0.05346194926163801,1
3000,0,4,0,0,1,50.2,159.75,0.0296937335831477,0.07972226690168276,0.033666666666666664,47.96666666666667,52.43333333333333,79.25,80.25,0.0280207524873465,0.03646930702114254,0.05921636257535331,0.027844843999624405,2
3000,0,2,0,0,1,47.325,160.0,0.030048168111413445,0.049087342349396934,0.032,45.45,49.2,79.75,80.25,0.039952147377057226,0.02436555705735554,0.03362550040227437,0.06398431839807961,3
3000,0,2,0,0,1,49.46666666666666,151.0,0.0377066794116481,0.04955398450414511,0.024,50.61666666666667,48.31666666666667,71.5,79.5,0.03865754930492518,0.03621245529364123,0.05669448984482751,0.04233134178639657,4
3000,0,4,0,0,1,51.866666666666674,165.5,0.06650712452437872,0.04296100319383802,0.013,50.53333333333333,53.2,78.25,87.25,0.03949441250550282,0.08529857636359672,0.03790841750406039,0.03834506157172711,5
3000,0,2,0,0,1,49.391666666666666,156.5,0.0397075279676143,0.048685385942119755,0.017333333333333333,47.483333333333334,51.300000000000004,79.5,77.0,0.025372847166915954,0.05778169071632091,0.050212201937654424,0.04351015647442524,6
3000,0,4,0,0,1,48.61666666666667,153.25,0.045741167086991635,0.050379712968307566,0.012666666666666666,52.81666666666667,44.416666666666664,75.75,77.5,0.0439153193671962,0.04756701480678707,0.03950505233478788,0.051729841629034407,7
3000,0,3,0,0,1,49.333333333333336,160.25,0.03688336765601013,0.07381223388288427,0.021333333333333333,50.64999999999999,48.016666666666666,76.0,84.0,0.052961190058479386,0.02786410143023469,0.08085785120627735,0.0647003535432706,8
3000,0,4,0,0,1,47.91666666666667,152.0,0.04996111444501908,0.04557898838467141,0.016666666666666666,49.93333333333334,45.9,71.75,80.0,0.07451489828880303,0.032180788213313466,0.05933102298060145,0.029610403186310228,9
3000,0,2,0,0,1,47.91666666666667,148.0,0.05394259777821607,0.07704793599049053,0.017666666666666667,47.233333333333334,48.6,75.25,72.75,0.046564280420062346,0.0600487914539295,0.07738274224029096,0.0658970219870086,10
