n_steps,left_score,right_score,win,draw,loss,sap,sbf,mecha,cv,possession_fraction,sap_1st_half,sap_2nd_half,sbf_1st_half,sbf_2nd_half,mecha_1st_half,mecha_2nd_half,cv_1st_half,cv_2nd_half,episode
3000,0,4,0,0,1,46.958333333333336,155.25,0.0703748656038374,0.05576490214515408,0.009333333333333334,47.53333333333333,46.38333333333333,75.25,79.75,0.07145803432397062,0.06539228949122476,0.06080120790890799,0.04552272322238272,0
3000,0,2,0,0,1,49.55833333333333,163.75,0.04082847388589512,0.06344494075941731,0.029333333333333333,48.8,50.31666666666666,77.5,86.25,0.06287521775023774,0.03302731836466619,0.06235574024687841,0.061766369876033275,1
3000,0,4,0,0,1,47.71666666666667,161.5,0.040545658712546,0.058049455773177425,0.04066666666666666,52.400000000000006,43.03333333333333,78.75,82.75,0.034651034148321214,0.04538452962347681,0.028288555991285276,0.0821075502115337,2
3000,0,5,0,0,1,51.79166666666667,163.75,0.039488756662106494,0.06646987721625636,0.027666666666666666,51.63333333333333,51.949999999999996,87.0,76.5,0.04360999057537085,0.03809285485277502,0.05515295262210787,0.07187029624558822,3
3000,0,2,0,0,1,49.84166666666667,169.75,0.05390129352663014,0.06771908630800284,0.016,48.983333333333334,50.7,89.25,80.5,0.050406065919869666,0.05421904149088109,0.054525207959248784,0.07297417837636554,4
3000,0,3,0,0,1,48.983333333333334,155.25,0.04167184161787348,0.05858839037819518,0.007,48.35,49.61666666666667,75.5,79.75,0.0,0.04167184161787348,0.026776687283835213,0.08661322884679971,5
3000,0,4,0,0,1,49.925000000000004,161.0,0.0569574802057677,0.019021010897272796,0.009,48.55,51.300000000000004,85.75,75.0,0.0565221319662263,0.05708186541706524,0.010935805496688739,0.02599314389358094,6
3000,0,4,0,0,1,50.56666666666667,157.0,0.03989527198653025,0.03770727909511969,0.053,49.983333333333334,51.15,73.0,84.0,0.03730299420783012,0.04287288835395607,0.03303639459079645,0.04114044710913449,7
3000,0,2,0,0,1,49.233333333333334,152.25,0.03736155929244493,0.07654748671002143,0.018,50.0,48.46666666666667,72.0,80.25,0.036158815452255924,0.04157116273310648,0.06490633096446871,0.08637361613441293,8
3000,0,2,0,0,1,49.358333333333334,171.0,0.06755198039986451,0.06051616070687253,0.03966666666666667,46.766666666666666,51.949999999999996,92.0,79.0,0.07334114380623245,0.05611838267228779,0.06887131778450147,0.049864844296517996,9
3000,0,3,0,0,1,46.75833333333333,154.75,0.048773166540851544,0.08123377630729349,0.051,46.28333333333333,47.233333333333334,80.25,74.5,0.08605743074824132,0.019726123495559512,0.10911812736540387,0.04945930544480937,10
3000,0,5,0,0,1,48.20833333333333,164.5,0.044467897024672284,0.07340074814082337,0.008,49.983333333333334,46.43333333333333,77.25,87.25,0.044467897024672284,0.0,0.0995713194175763,0.04395982576800252,11
3000,0,4,0,0,1,53.108333333333334,162.5,0.05725181751265766,0.043121306626094744,0.015,57.25,48.96666666666666,81.75,80.5,0.05881341406072374,0.0541286244165255,0.028816738410735464,0.044387186307563255,12
3000,0,4,0,0,1,51.6,149.25,0.07636869756162207,0.058091946722578815,0.02266666666666667,50.74999999999999,52.449999999999996,73.0,76.0,0.051367817740469474,0.08753930343915835,0.06123529730978916,0.05240772056118779,13
3000,0,1,0,0,1,46.858333333333334,155.75,0.05778843466013653,0.0691170569759082,0.025333333333333333,43.28333333333333,50.43333333333333,77.25,78.25,0.0703505382315942,0.044547298463194634,0.040701780977124236,0.06478991945096421,14
3000,0,0,0,1,0,49.94166666666667,165.75,0.0,0.004249369676723957,0.0,50.66666666666667,49.21666666666666,85.25,80.5,0.0,0.0,0.0029617973191426433,0.004921648825524694,15
3000,0,4,0,0,1,52.425,170.25,0.03900357552753351,0.04800080764596165,0.013333333333333334,54.516666666666666,50.33333333333333,80.25,90.0,0.032921236834682614,0.06333293029893705,0.058571825772506206,0.03671744844922863,16
3000,0,5,0,0,1,48.141666666666666,165.25,0.03495770469172857,0.04489531586069112,0.04733333333333333,45.5,50.78333333333334,83.75,81.5,0.04634214084072927,0.028178209007492204,0.041844079592236405,0.04200474679393347,17
