context_label,episode_id,step,t_norm,delta_score,sprint_bits,position,possession
early_neutral,3,0,1.0,0,[0],"[[-1.0110293626785278, -0.0], [0.0, 0.02032535709440708], [0.0, -0.02032535709440708], [-0.10110294073820114, -0.10162678360939026], [-0.10110294073820114, 0.10162678360939026]]",False
early_neutral,3,1,0.9996667777407531,0,[0],"[[-1.0110293626785278, -0.0], [3.706086548760368e-10, 0.019467074424028397], [0.0, -0.02032535709440708], [-0.10110294073820114, -0.10162678360939026], [-0.10110294073820114, 0.10162678360939026]]",False
early_neutral,3,2,0.9993335554815062,0,[0],"[[-1.0089819431304932, 1.5643710285506707e-11], [1.2067361554457534e-09, 0.016681566834449768], [0.0, -0.02032535709440708], [-0.10142582654953003, -0.10026010870933533], [-0.1019529327750206, 0.10263324528932571]]",False
early_neutral,3,3,0.9990003332222592,0,[0],"[[-1.0043776035308838, 3.809130788567927e-11], [1.6041908912356462e-09, 0.012883503921329975], [0.0, -0.02032535709440708], [-0.1001933291554451, -0.09788324683904648], [-0.10369766503572464, 0.10502176731824875]]",False
early_neutral,3,4,0.9986671109630123,0,[0],"[[-0.9982317090034485, -8.888172142729189e-11], [1.206063693359738e-09, 0.009168500080704689], [8.489903848385438e-05, -0.02125610038638115], [-0.09529861807823181, -0.09710687398910522], [-0.1056826189160347, 0.10829761624336243]]",False
early_neutral,3,5,0.9983338887037654,0,[0],"[[-0.9906662106513977, -6.615857306435657e-10], [8.842245269313764e-10, 0.005916606169193983], [0.0004492271109484136, -0.023671209812164307], [-0.08922469615936279, -0.09812035411596298], [-0.1079293042421341, 0.11229178309440613]]",True
early_neutral,3,6,0.9980006664445185,0,[0],"[[-0.9818469882011414, -9.425931146722633e-10], [7.500914889213561e-10, 0.004046153277158737], [0.0012983288615942001, -0.026889372617006302], [-0.0836520716547966, -0.1012599989771843], [-0.11039753258228302, 0.11689890176057816]]",True
early_neutral,3,7,0.9976674441852715,0,[0],"[[-0.9724517464637756, -5.787782356492244e-06], [6.838702382161443e-10, 0.002859558677300811], [0.0023432294838130474, -0.030813200399279594], [-0.07815828919410706, -0.10554678738117218], [-0.11292106658220291, 0.12185420840978622]]",True
early_neutral,3,8,0.9973342219260246,0,[0],"[[-0.9623057842254639, -2.6974279535352252e-05], [5.865156693651841e-10, 0.001984542701393366], [0.003461291315034032, -0.03478630632162094], [-0.0721404179930687, -0.1104268878698349], [-0.11568164825439453, 0.12744559347629547]]",True
early_neutral,3,9,0.9970009996667777,0,[0],"[[-0.9514371156692505, -6.558020686497912e-05], [4.856831603561318e-10, 0.0010782668832689524], [0.006900436244904995, -0.03764576464891434], [-0.06572262942790985, -0.11583621054887772], [-0.11870135366916656, 0.13352985680103302]]",True
early_neutral,3,10,0.9966677774075309,0,[0],"[[-0.9404258131980896, -0.00011104519944638014], [-0.00012546223297249526, 0.001406111754477024], [0.011078893207013607, -0.04118826612830162], [-0.05895620211958885, -0.12170317023992538], [-0.12199367582798004, 0.1400921642780304]]",True
early_neutral,3,11,0.996334555148284,0,[0],"[[-0.9287722706794739, -0.00016357666754629463], [-0.00025884900242090225, 0.0020798223558813334], [0.0161376241594553, -0.045240432024002075], [-0.05172894150018692, -0.12790530920028687], [-0.12553629279136658, 0.14678525924682617]]",True
early_neutral,3,12,0.996001332889037,0,[0],"[[-0.9165455102920532, -0.00022083809017203748], [-6.190165731823072e-05, 0.0028080071788281202], [0.02074049971997738, -0.04909895732998848], [-0.04409600421786308, -0.1343536227941513], [-0.12946945428848267, 0.15383434295654297]]",True
early_neutral,3,13,0.9956681106297901,0,[0],"[[-0.9038439989089966, -0.0002814475155901164], [0.00015314982738345861, 0.0034755547530949116], [0.022024065256118774, -0.05317327380180359], [-0.0361064150929451, -0.1409732848405838], [-0.13373282551765442, 0.1612246036529541]]",False
early_neutral,3,14,0.9953348883705432,0,[0],"[[-0.8907768726348877, -0.00033886139863170683], [8.506947051500902e-05, 0.004026169888675213], [0.02309020794928074, -0.056381601840257645], [-0.02776537463068962, -0.1476852297782898], [-0.1383523792028427, 0.1688806712627411]]",False
early_neutral,3,15,0.9950016661112963,0,[0],"[[-0.8774305582046509, -0.0003529671230353415], [1.6982803572318517e-05, 0.004576790612190962], [0.023879829794168472, -0.0588899590075016], [-0.02028423175215721, -0.1545228511095047], [-0.14328928291797638, 0.17673178017139435]]",False
early_neutral,3,16,0.9946684438520493,0,[0],"[[-0.8639687895774841, -0.0003159020561724901], [-4.5995831897016615e-05, 0.005086115095764399], [0.02467968687415123, -0.06077565625309944], [-0.016870955005288124, -0.16056117415428162], [-0.14848022162914276, 0.1847294718027115]]",False
early_neutral,3,17,0.9943352215928024,0,[0],"[[-0.8528265357017517, -0.0002627786889206618], [-0.0006395912496373057, 0.005629943683743477], [0.02558618038892746, -0.06089354678988457], [-0.018041042611002922, -0.1658390611410141], [-0.15391050279140472, 0.1928260773420334]]",True
early_neutral,3,18,0.9940019993335555,0,[0],"[[-0.8427761793136597, -0.00019315902318339795], [-0.003110572462901473, 0.0072941854596138], [0.02635463885962963, -0.06089445948600769], [-0.021229546517133713, -0.17143891751766205], [-0.1593652069568634, 0.2010423243045807]]",True
early_neutral,3,19,0.9936687770743086,0,[0],"[[-0.8350486755371094, -0.0001291570079047233], [-0.0064610871486365795, 0.009672089479863644], [0.02656424790620804, -0.0610278956592083], [-0.025731252506375313, -0.17667622864246368], [-0.16473177075386047, 0.20937877893447876]]",True
early_neutral,3,20,0.9933355548150616,0,[0],"[[-0.8310551643371582, -8.66161790327169e-05], [-0.010740243829786777, 0.012665252201259136], [0.026788638904690742, -0.06117074564099312], [-0.030393071472644806, -0.17994971573352814], [-0.16960406303405762, 0.2170753926038742]]",True
early_neutral,3,21,0.9930023325558147,0,[0],"[[-0.828115701675415, -5.2767070883419365e-05], [-0.015855420380830765, 0.016092119738459587], [0.026847878471016884, -0.06120845302939415], [-0.03630707785487175, -0.18155500292778015], [-0.17331750690937042, 0.22277824580669403]]",True
early_neutral,3,22,0.9926691102965678,0,[0],"[[-0.8276698589324951, -6.173273868625984e-05], [-0.021511351689696312, 0.019720254465937614], [0.026847878471016884, -0.06120845302939415], [-0.04095400869846344, -0.18248775601387024], [-0.17680616676807404, 0.2279868721961975]]",True
early_neutral,3,23,0.9923358880373209,0,[0],"[[-0.8274661302566528, -7.132533937692642e-05], [-0.02805965766310692, 0.023649703711271286], [0.026698844507336617, -0.06025198474526405], [-0.04157138988375664, -0.18265017867088318], [-0.1795354187488556, 0.23180466890335083]]",True
