context_label,episode_id,step,t_norm,delta_score,sprint_bits,position,possession
early_neutral,4,0,1.0,0,[0],"[[-1.0110293626785278, -0.0], [-0.040441177785396576, 0.04065071418881416], [-0.040441177785396576, -0.04065071418881416], [-0.10110294073820114, -0.10162678360939026], [-0.10110294073820114, 0.10162678360939026]]",False
early_neutral,4,1,0.9996667777407531,0,[0],"[[-1.0110293626785278, -0.0], [-0.039530977606773376, 0.03973580151796341], [-0.040441177785396576, -0.04065071418881416], [-0.10112815350294113, -0.10154429823160172], [-0.10110294073820114, 0.10162678360939026]]",False
early_neutral,4,2,0.9993335554815062,0,[0],"[[-1.0100501775741577, 8.031808725050826e-12], [-0.03711819648742676, 0.03731051832437515], [-0.040441177785396576, -0.04065071418881416], [-0.10158479958772659, -0.0995224192738533], [-0.10109676420688629, 0.10164694488048553]]",False
early_neutral,4,3,0.9990003332222592,0,[0],"[[-1.0059254169464111, 3.23738987006994e-11], [-0.0342121422290802, 0.03427818790078163], [-0.040441177785396576, -0.04065071418881416], [-0.10194576531648636, -0.09732038527727127], [-0.10078202933073044, 0.10346719622612]]",False
early_neutral,4,4,0.9986671109630123,0,[0],"[[-1.0002306699752808, 4.546882315104028e-11], [-0.0323815755546093, 0.031372521072626114], [-0.040441177785396576, -0.04065071418881416], [-0.10204830020666122, -0.0966949462890625], [-0.10083536058664322, 0.10639669746160507]]",False
early_neutral,4,5,0.9983338887037654,0,[0],"[[-0.9930757880210876, -5.145986969878891e-10], [-0.03235367685556412, 0.029460085555911064], [-0.040441177785396576, -0.04065071418881416], [-0.10197442770004272, -0.09719528257846832], [-0.10151387006044388, 0.11020078510046005]]",False
early_neutral,4,6,0.9980006664445185,0,[0],"[[-0.9846126437187195, -8.951511754062835e-10], [-0.03642739728093147, 0.0306524820625782], [-0.040441177785396576, -0.04065071418881416], [-0.10173079371452332, -0.09958246350288391], [-0.10237730294466019, 0.11458517611026764]]",False
early_neutral,4,7,0.9976674441852715,0,[0],"[[-0.975313127040863, -1.0682613682533315e-09], [-0.04197070002555847, 0.03215543553233147], [-0.040441177785396576, -0.04065071418881416], [-0.10159874707460403, -0.10286834090948105], [-0.10340830683708191, 0.11951404064893723]]",False
early_neutral,4,8,0.9973342219260246,0,[0],"[[-0.9654421806335449, -1.2256418102651878e-09], [-0.04751700162887573, 0.034860238432884216], [-0.040441177785396576, -0.04065071418881416], [-0.10108251869678497, -0.1060858964920044], [-0.10566640645265579, 0.12404611706733704]]",False
early_neutral,4,9,0.9970009996667777,0,[0],"[[-0.9547167420387268, -1.2987411146525574e-09], [-0.05226632207632065, 0.038561638444662094], [-0.040441177785396576, -0.04065071418881416], [-0.10055292397737503, -0.10743699967861176], [-0.1110166385769844, 0.12593023478984833]]",False
