context_label,episode_id,step,t_norm,delta_score,sprint_bits,position,possession
early_neutral,1,0,1.0,0,[0],"[[-1.0110293626785278, -0.0], [0.0, 0.02032535709440708], [0.0, -0.02032535709440708], [-0.10110294073820114, -0.10162678360939026], [-0.10110294073820114, 0.10162678360939026]]",False
early_neutral,1,1,0.9996667777407531,0,[0],"[[-1.0110293626785278, -0.0], [5.468565045241292e-10, 0.018993355333805084], [0.0, -0.02032535709440708], [-0.10115771740674973, -0.10143999755382538], [-0.10110294073820114, 0.10162678360939026]]",False
early_neutral,1,2,0.9993335554815062,0,[0],"[[-1.0110293626785278, -0.0], [1.3364466200371794e-09, 0.016001025214791298], [0.0, -0.02032535709440708], [-0.10158319771289825, -0.09925241023302078], [-0.10110294073820114, 0.10162678360939026]]",False
early_neutral,1,3,0.9990003332222592,0,[0],"[[-1.0085934400558472, 1.8197001197539642e-11], [1.5751088211501951e-09, 0.012255201116204262], [6.324933201540262e-05, -0.021049702540040016], [-0.10024482011795044, -0.09679218381643295], [-0.1019493117928505, 0.102634496986866]]",False
early_neutral,1,4,0.9986671109630123,0,[0],"[[-1.0038305521011353, 3.9700007170573315e-11], [1.123019899296196e-09, 0.008408084511756897], [0.00039520912105217576, -0.023426448926329613], [-0.09542530030012131, -0.09638021141290665], [-0.10367309302091599, 0.10502933710813522]]",False
early_neutral,1,5,0.9983338887037654,0,[0],"[[-0.9975366592407227, -1.5463669233994892e-10], [8.463836298489014e-10, 0.005462257191538811], [0.0011085615260526538, -0.026472924277186394], [-0.08959705382585526, -0.09781553596258163], [-0.10561110079288483, 0.10831698030233383]]",True
early_neutral,1,6,0.9980006664445185,0,[0],"[[-0.989837646484375, -7.047840089313695e-10], [7.329374884790241e-10, 0.003730461932718754], [0.0020084111019968987, -0.030234429985284805], [-0.08438411355018616, -0.10122142732143402], [-0.10780758410692215, 0.11232294887304306]]",True
early_neutral,1,7,0.9976674441852715,0,[0],"[[-0.9809144139289856, -9.50730161264346e-10], [1.2673967431098276e-09, 0.002270726952701807], [0.003179695224389434, -0.03412769362330437], [-0.07915908098220825, -0.10565642267465591], [-0.11023271083831787, 0.11693976074457169]]",True
early_neutral,1,8,0.9973342219260246,0,[0],"[[-0.971478283405304, -7.167560397647321e-06], [2.185623904082945e-09, -0.000556125130970031], [0.0064715426415205, -0.03690853342413902], [-0.07352577149868011, -0.11046486347913742], [-0.11272577941417694, 0.12190160900354385]]",True
early_neutral,1,9,0.9970009996667777,0,[0],"[[-0.9612438082695007, -3.0455956220976077e-05], [2.3417376926460065e-09, -0.003948105964809656], [0.010749941691756248, -0.04022899642586708], [-0.06750284135341644, -0.11574064195156097], [-0.11549556255340576, 0.1274910271167755]]",True
